appearance	appearance_enemy	componentAppearance	componentAppearance_enemy	silhouette	use_parent_orientation	effect_hardpoint	activate_effect	activate_effect_enemy	activate_sound	deactivate_effect	deactivate_effect_enemy	deactivate_sound	target_acquiring_effect	target_acquiring_sound	target_acquired_appearance
appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	1	1		clienteffect/ui_target_select_enable_01.cef	clienteffect/ui_target_select_enable_01.cef	sound/ui_all_target_select.snd	clienteffect/trap_electric_01.cef	clienteffect/trap_electric_01.cef	sound/ui_all_target_deselect.snd	clienteffect/ui_missile_aquiring.cef	sound/ui_all_target_missile_acquire.snd	appearance/pt_ui_missile_aquired.prt
appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	1	1		clienteffect/ui_target_select_enable_01.cef	clienteffect/ui_target_select_enable_01.cef	sound/ui_all_target_select.snd	clienteffect/trap_electric_01.cef	clienteffect/trap_electric_01.cef	sound/ui_all_target_deselect.snd	clienteffect/ui_missile_aquiring.cef	sound/ui_all_target_missile_acquire.snd	appearance/pt_ui_missile_aquired.prt
appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	1	1		clienteffect/ui_target_select_enable_01.cef	clienteffect/ui_target_select_enable_01.cef	sound/ui_all_target_select.snd	clienteffect/trap_electric_01.cef	clienteffect/trap_electric_01.cef	sound/ui_all_target_deselect.snd	clienteffect/ui_missile_aquiring.cef	sound/ui_all_target_missile_acquire.snd	appearance/pt_ui_missile_aquired.prt
appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	1	1		clienteffect/ui_target_select_enable_01.cef	clienteffect/ui_target_select_enable_01.cef	sound/ui_all_target_select.snd	clienteffect/trap_electric_01.cef	clienteffect/trap_electric_01.cef	sound/ui_all_target_deselect.snd	clienteffect/ui_missile_aquiring.cef	sound/ui_all_target_missile_acquire.snd	appearance/pt_ui_missile_aquired.prt
appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	1	1		clienteffect/ui_target_select_enable_01.cef	clienteffect/ui_target_select_enable_01.cef	sound/ui_all_target_select.snd	clienteffect/trap_electric_01.cef	clienteffect/trap_electric_01.cef	sound/ui_all_target_deselect.snd	clienteffect/ui_missile_aquiring.cef	sound/ui_all_target_missile_acquire.snd	appearance/pt_ui_missile_aquired.prt
appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	1	1		clienteffect/ui_target_select_enable_01.cef	clienteffect/ui_target_select_enable_01.cef	sound/ui_all_target_select.snd	clienteffect/trap_electric_01.cef	clienteffect/trap_electric_01.cef	sound/ui_all_target_deselect.snd	clienteffect/ui_missile_aquiring.cef	sound/ui_all_target_missile_acquire.snd	appearance/pt_ui_missile_aquired.prt
appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	1	1		clienteffect/ui_target_select_enable_01.cef	clienteffect/ui_target_select_enable_01.cef	sound/ui_all_target_select.snd	clienteffect/trap_electric_01.cef	clienteffect/trap_electric_01.cef	sound/ui_all_target_deselect.snd	clienteffect/ui_missile_aquiring.cef	sound/ui_all_target_missile_acquire.snd	appearance/pt_ui_missile_aquired.prt
appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	1	1		clienteffect/ui_target_select_enable_01.cef	clienteffect/ui_target_select_enable_01.cef	sound/ui_all_target_select.snd	clienteffect/trap_electric_01.cef	clienteffect/trap_electric_01.cef	sound/ui_all_target_deselect.snd	clienteffect/ui_missile_aquiring.cef	sound/ui_all_target_missile_acquire.snd	appearance/pt_ui_missile_aquired.prt
appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	1	1		clienteffect/ui_target_select_enable_01.cef	clienteffect/ui_target_select_enable_01.cef	sound/ui_all_target_select.snd	clienteffect/trap_electric_01.cef	clienteffect/trap_electric_01.cef	sound/ui_all_target_deselect.snd	clienteffect/ui_missile_aquiring.cef	sound/ui_all_target_missile_acquire.snd	appearance/pt_ui_missile_aquired.prt
appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	1	1		clienteffect/ui_target_select_enable_01.cef	clienteffect/ui_target_select_enable_01.cef	sound/ui_all_target_select.snd	clienteffect/trap_electric_01.cef	clienteffect/trap_electric_01.cef	sound/ui_all_target_deselect.snd	clienteffect/ui_missile_aquiring.cef	sound/ui_all_target_missile_acquire.snd	appearance/pt_ui_missile_aquired.prt
appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	1	1		clienteffect/ui_target_select_enable_01.cef	clienteffect/ui_target_select_enable_01.cef	sound/ui_all_target_select.snd	clienteffect/trap_electric_01.cef	clienteffect/trap_electric_01.cef	sound/ui_all_target_deselect.snd	clienteffect/ui_missile_aquiring.cef	sound/ui_all_target_missile_acquire.snd	appearance/pt_ui_missile_aquired.prt
appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	1	1		clienteffect/ui_target_select_enable_01.cef	clienteffect/ui_target_select_enable_01.cef	sound/ui_all_target_select.snd	clienteffect/trap_electric_01.cef	clienteffect/trap_electric_01.cef	sound/ui_all_target_deselect.snd	clienteffect/ui_missile_aquiring.cef	sound/ui_all_target_missile_acquire.snd	appearance/pt_ui_missile_aquired.prt
appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	1	1		clienteffect/ui_target_select_enable_01.cef	clienteffect/ui_target_select_enable_01.cef	sound/ui_all_target_select.snd	clienteffect/trap_electric_01.cef	clienteffect/trap_electric_01.cef	sound/ui_all_target_deselect.snd	clienteffect/ui_missile_aquiring.cef	sound/ui_all_target_missile_acquire.snd	appearance/pt_ui_missile_aquired.prt
appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	1	1		clienteffect/ui_target_select_enable_01.cef	clienteffect/ui_target_select_enable_01.cef	sound/ui_all_target_select.snd	clienteffect/trap_electric_01.cef	clienteffect/trap_electric_01.cef	sound/ui_all_target_deselect.snd	clienteffect/ui_missile_aquiring.cef	sound/ui_all_target_missile_acquire.snd	appearance/pt_ui_missile_aquired.prt
appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	1	1		clienteffect/ui_target_select_enable_01.cef	clienteffect/ui_target_select_enable_01.cef	sound/ui_all_target_select.snd	clienteffect/trap_electric_01.cef	clienteffect/trap_electric_01.cef	sound/ui_all_target_deselect.snd	clienteffect/ui_missile_aquiring.cef	sound/ui_all_target_missile_acquire.snd	appearance/pt_ui_missile_aquired.prt
appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	1	1		clienteffect/ui_target_select_enable_01.cef	clienteffect/ui_target_select_enable_01.cef	sound/ui_all_target_select.snd	clienteffect/trap_electric_01.cef	clienteffect/trap_electric_01.cef	sound/ui_all_target_deselect.snd	clienteffect/ui_missile_aquiring.cef	sound/ui_all_target_missile_acquire.snd	appearance/pt_ui_missile_aquired.prt
appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	1	1		clienteffect/ui_target_select_enable_01.cef	clienteffect/ui_target_select_enable_01.cef	sound/ui_all_target_select.snd	clienteffect/trap_electric_01.cef	clienteffect/trap_electric_01.cef	sound/ui_all_target_deselect.snd	clienteffect/ui_missile_aquiring.cef	sound/ui_all_target_missile_acquire.snd	appearance/pt_ui_missile_aquired.prt
appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	1	1		clienteffect/ui_target_select_enable_01.cef	clienteffect/ui_target_select_enable_01.cef	sound/ui_all_target_select.snd	clienteffect/trap_electric_01.cef	clienteffect/trap_electric_01.cef	sound/ui_all_target_deselect.snd	clienteffect/ui_missile_aquiring.cef	sound/ui_all_target_missile_acquire.snd	appearance/pt_ui_missile_aquired.prt
appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	1	1		clienteffect/ui_target_select_enable_01.cef	clienteffect/ui_target_select_enable_01.cef	sound/ui_all_target_select.snd	clienteffect/trap_electric_01.cef	clienteffect/trap_electric_01.cef	sound/ui_all_target_deselect.snd	clienteffect/ui_missile_aquiring.cef	sound/ui_all_target_missile_acquire.snd	appearance/pt_ui_missile_aquired.prt
appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	1	1		clienteffect/ui_target_select_enable_01.cef	clienteffect/ui_target_select_enable_01.cef	sound/ui_all_target_select.snd	clienteffect/trap_electric_01.cef	clienteffect/trap_electric_01.cef	sound/ui_all_target_deselect.snd	clienteffect/ui_missile_aquiring.cef	sound/ui_all_target_missile_acquire.snd	appearance/pt_ui_missile_aquired.prt
appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	1	1		clienteffect/ui_target_select_enable_01.cef	clienteffect/ui_target_select_enable_01.cef	sound/ui_all_target_select.snd	clienteffect/trap_electric_01.cef	clienteffect/trap_electric_01.cef	sound/ui_all_target_deselect.snd	clienteffect/ui_missile_aquiring.cef	sound/ui_all_target_missile_acquire.snd	appearance/pt_ui_missile_aquired.prt
appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	1	1		clienteffect/ui_target_select_enable_01.cef	clienteffect/ui_target_select_enable_01.cef	sound/ui_all_target_select.snd	clienteffect/trap_electric_01.cef	clienteffect/trap_electric_01.cef	sound/ui_all_target_deselect.snd	clienteffect/ui_missile_aquiring.cef	sound/ui_all_target_missile_acquire.snd	appearance/pt_ui_missile_aquired.prt
appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	1	1		clienteffect/ui_target_select_enable_01.cef	clienteffect/ui_target_select_enable_01.cef	sound/ui_all_target_select.snd	clienteffect/trap_electric_01.cef	clienteffect/trap_electric_01.cef	sound/ui_all_target_deselect.snd	clienteffect/ui_missile_aquiring.cef	sound/ui_all_target_missile_acquire.snd	appearance/pt_ui_missile_aquired.prt
appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	1	1		clienteffect/ui_target_select_enable_01.cef	clienteffect/ui_target_select_enable_01.cef	sound/ui_all_target_select.snd	clienteffect/trap_electric_01.cef	clienteffect/trap_electric_01.cef	sound/ui_all_target_deselect.snd	clienteffect/ui_missile_aquiring.cef	sound/ui_all_target_missile_acquire.snd	appearance/pt_ui_missile_aquired.prt
appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	1	1		clienteffect/ui_target_select_enable_01.cef	clienteffect/ui_target_select_enable_01.cef	sound/ui_all_target_select.snd	clienteffect/trap_electric_01.cef	clienteffect/trap_electric_01.cef	sound/ui_all_target_deselect.snd	clienteffect/ui_missile_aquiring.cef	sound/ui_all_target_missile_acquire.snd	appearance/pt_ui_missile_aquired.prt
appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	1	1		clienteffect/ui_target_select_enable_01.cef	clienteffect/ui_target_select_enable_01.cef	sound/ui_all_target_select.snd	clienteffect/trap_electric_01.cef	clienteffect/trap_electric_01.cef	sound/ui_all_target_deselect.snd	clienteffect/ui_missile_aquiring.cef	sound/ui_all_target_missile_acquire.snd	appearance/pt_ui_missile_aquired.prt
appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	1	1		clienteffect/ui_target_select_enable_01.cef	clienteffect/ui_target_select_enable_01.cef	sound/ui_all_target_select.snd	clienteffect/trap_electric_01.cef	clienteffect/trap_electric_01.cef	sound/ui_all_target_deselect.snd	clienteffect/ui_missile_aquiring.cef	sound/ui_all_target_missile_acquire.snd	appearance/pt_ui_missile_aquired.prt
appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	1	1		clienteffect/ui_target_select_enable_01.cef	clienteffect/ui_target_select_enable_01.cef	sound/ui_all_target_select.snd	clienteffect/trap_electric_01.cef	clienteffect/trap_electric_01.cef	sound/ui_all_target_deselect.snd	clienteffect/ui_missile_aquiring.cef	sound/ui_all_target_missile_acquire.snd	appearance/pt_ui_missile_aquired.prt
appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	1	1		clienteffect/ui_target_select_enable_01.cef	clienteffect/ui_target_select_enable_01.cef	sound/ui_all_target_select.snd	clienteffect/trap_electric_01.cef	clienteffect/trap_electric_01.cef	sound/ui_all_target_deselect.snd	clienteffect/ui_missile_aquiring.cef	sound/ui_all_target_missile_acquire.snd	appearance/pt_ui_missile_aquired.prt
appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	1	1		clienteffect/ui_target_select_enable_01.cef	clienteffect/ui_target_select_enable_01.cef	sound/ui_all_target_select.snd	clienteffect/trap_electric_01.cef	clienteffect/trap_electric_01.cef	sound/ui_all_target_deselect.snd	clienteffect/ui_missile_aquiring.cef	sound/ui_all_target_missile_acquire.snd	appearance/pt_ui_missile_aquired.prt
appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	1	1		clienteffect/ui_target_select_enable_01.cef	clienteffect/ui_target_select_enable_01.cef	sound/ui_all_target_select.snd	clienteffect/trap_electric_01.cef	clienteffect/trap_electric_01.cef	sound/ui_all_target_deselect.snd	clienteffect/ui_missile_aquiring.cef	sound/ui_all_target_missile_acquire.snd	appearance/pt_ui_missile_aquired.prt
appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	1	1		clienteffect/ui_target_select_enable_01.cef	clienteffect/ui_target_select_enable_01.cef	sound/ui_all_target_select.snd	clienteffect/trap_electric_01.cef	clienteffect/trap_electric_01.cef	sound/ui_all_target_deselect.snd	clienteffect/ui_missile_aquiring.cef	sound/ui_all_target_missile_acquire.snd	appearance/pt_ui_missile_aquired.prt
appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	1	1		clienteffect/ui_target_select_enable_01.cef	clienteffect/ui_target_select_enable_01.cef	sound/ui_all_target_select.snd	clienteffect/trap_electric_01.cef	clienteffect/trap_electric_01.cef	sound/ui_all_target_deselect.snd	clienteffect/ui_missile_aquiring.cef	sound/ui_all_target_missile_acquire.snd	appearance/pt_ui_missile_aquired.prt
appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	1	1		clienteffect/ui_target_select_enable_01.cef	clienteffect/ui_target_select_enable_01.cef	sound/ui_all_target_select.snd	clienteffect/trap_electric_01.cef	clienteffect/trap_electric_01.cef	sound/ui_all_target_deselect.snd	clienteffect/ui_missile_aquiring.cef	sound/ui_all_target_missile_acquire.snd	appearance/pt_ui_missile_aquired.prt
appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	1	1		clienteffect/ui_target_select_enable_01.cef	clienteffect/ui_target_select_enable_01.cef	sound/ui_all_target_select.snd	clienteffect/trap_electric_01.cef	clienteffect/trap_electric_01.cef	sound/ui_all_target_deselect.snd	clienteffect/ui_missile_aquiring.cef	sound/ui_all_target_missile_acquire.snd	appearance/pt_ui_missile_aquired.prt
appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	1	1		clienteffect/ui_target_select_enable_01.cef	clienteffect/ui_target_select_enable_01.cef	sound/ui_all_target_select.snd	clienteffect/trap_electric_01.cef	clienteffect/trap_electric_01.cef	sound/ui_all_target_deselect.snd	clienteffect/ui_missile_aquiring.cef	sound/ui_all_target_missile_acquire.snd	appearance/pt_ui_missile_aquired.prt
appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	1	1		clienteffect/ui_target_select_enable_01.cef	clienteffect/ui_target_select_enable_01.cef	sound/ui_all_target_select.snd	clienteffect/trap_electric_01.cef	clienteffect/trap_electric_01.cef	sound/ui_all_target_deselect.snd	clienteffect/ui_missile_aquiring.cef	sound/ui_all_target_missile_acquire.snd	appearance/pt_ui_missile_aquired.prt
appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	1	1		clienteffect/ui_target_select_enable_01.cef	clienteffect/ui_target_select_enable_01.cef	sound/ui_all_target_select.snd	clienteffect/trap_electric_01.cef	clienteffect/trap_electric_01.cef	sound/ui_all_target_deselect.snd	clienteffect/ui_missile_aquiring.cef	sound/ui_all_target_missile_acquire.snd	appearance/pt_ui_missile_aquired.prt
appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	1	1		clienteffect/ui_target_select_enable_01.cef	clienteffect/ui_target_select_enable_01.cef	sound/ui_all_target_select.snd	clienteffect/trap_electric_01.cef	clienteffect/trap_electric_01.cef	sound/ui_all_target_deselect.snd	clienteffect/ui_missile_aquiring.cef	sound/ui_all_target_missile_acquire.snd	appearance/pt_ui_missile_aquired.prt
appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	1	1		clienteffect/ui_target_select_enable_01.cef	clienteffect/ui_target_select_enable_01.cef	sound/ui_all_target_select.snd	clienteffect/trap_electric_01.cef	clienteffect/trap_electric_01.cef	sound/ui_all_target_deselect.snd	clienteffect/ui_missile_aquiring.cef	sound/ui_all_target_missile_acquire.snd	appearance/pt_ui_missile_aquired.prt
appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	1	1		clienteffect/ui_target_select_enable_01.cef	clienteffect/ui_target_select_enable_01.cef	sound/ui_all_target_select.snd	clienteffect/trap_electric_01.cef	clienteffect/trap_electric_01.cef	sound/ui_all_target_deselect.snd	clienteffect/ui_missile_aquiring.cef	sound/ui_all_target_missile_acquire.snd	appearance/pt_ui_missile_aquired.prt
appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	1	1		clienteffect/ui_target_select_enable_01.cef	clienteffect/ui_target_select_enable_01.cef	sound/ui_all_target_select.snd	clienteffect/trap_electric_01.cef	clienteffect/trap_electric_01.cef	sound/ui_all_target_deselect.snd	clienteffect/ui_missile_aquiring.cef	sound/ui_all_target_missile_acquire.snd	appearance/pt_ui_missile_aquired.prt
appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	1	1		clienteffect/ui_target_select_enable_01.cef	clienteffect/ui_target_select_enable_01.cef	sound/ui_all_target_select.snd	clienteffect/trap_electric_01.cef	clienteffect/trap_electric_01.cef	sound/ui_all_target_deselect.snd	clienteffect/ui_missile_aquiring.cef	sound/ui_all_target_missile_acquire.snd	appearance/pt_ui_missile_aquired.prt
appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	1	1		clienteffect/ui_target_select_enable_01.cef	clienteffect/ui_target_select_enable_01.cef	sound/ui_all_target_select.snd	clienteffect/trap_electric_01.cef	clienteffect/trap_electric_01.cef	sound/ui_all_target_deselect.snd	clienteffect/ui_missile_aquiring.cef	sound/ui_all_target_missile_acquire.snd	appearance/pt_ui_missile_aquired.prt
appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	1	1		clienteffect/ui_target_select_enable_01.cef	clienteffect/ui_target_select_enable_01.cef	sound/ui_all_target_select.snd	clienteffect/trap_electric_01.cef	clienteffect/trap_electric_01.cef	sound/ui_all_target_deselect.snd	clienteffect/ui_missile_aquiring.cef	sound/ui_all_target_missile_acquire.snd	appearance/pt_ui_missile_aquired.prt
